pair,pool_a,pool_b,ips_a,ips_b,est_pool_a,est_pool_b,ip_overlap_count,ip_overlap_pct_of_smaller,adjusted_ip_overlap_count,adjusted_ip_overlap_pct_of_smaller,subnets_a,subnets_b,subnet_overlap_count,subnet_overlap_pct_of_smaller,adjusted_subnet_overlap_count,adjusted_subnet_overlap_pct_of_smaller,chao_sorensen_pct,median_connect_ms_diff
711proxy vs proxybase,711proxy,proxybase,258807,32296,301217,35130,28215,87.4,35130,100.0,164636,28296,26826,94.8,30779,100.0,31.8,138.9
lightningproxies vs proxy-seller,lightningproxies,proxy-seller,111447,174107,116239,185889,104010,93.3,115824,99.6,89863,125667,85668,95.3,93727,100.0,82.6,30.7
lightningproxies vs shifter,lightningproxies,shifter,111447,180875,116239,192845,108281,97.2,116239,100.0,89863,128511,88076,98.0,93727,100.0,79.9,-34.2
novada vs proxybase,novada,proxybase,182358,32296,207473,35130,30086,93.2,35130,100.0,129526,28296,27087,95.7,30779,100.0,39.2,138.4
novada vs thordata,novada,thordata,182358,113891,207473,122700,97016,85.2,118915,96.9,129526,88210,78895,89.4,95033,100.0,73.8,-2.9
novada vs webshare,novada,webshare,182358,79044,207473,91368,65566,82.9,86227,94.4,129526,63025,55756,88.5,72852,100.0,61.1,-19.3
lightningproxies vs nodemaven,lightningproxies,nodemaven,111447,137971,116239,154448,95204,85.4,111156,95.6,89863,107770,79794,88.8,93164,99.4,78.5,1.6
thordata vs webshare,thordata,webshare,113891,79044,122700,91368,70122,88.7,87325,95.6,88210,63025,57462,91.2,71559,98.2,83.3,-12.6
711proxy vs redscrape,711proxy,redscrape,258807,18924,301217,19727,12648,66.8,15345,77.8,164636,16717,13834,82.8,16784,96.3,21.7,-30.9
proxy-seller vs shifter,proxy-seller,shifter,174107,180875,185889,192845,149927,86.1,170666,91.8,125667,128511,113267,90.1,128935,96.1,87.5,-71.7
decodo vs webshare,decodo,webshare,249471,79044,273404,91368,60184,76.1,76242,83.4,164845,63025,54411,86.3,68928,94.6,43.2,15.4
decodo vs thordata,decodo,thordata,249471,113891,273404,122700,86329,75.8,101929,83.1,164845,88210,75290,85.4,88895,93.5,51.4,31.3
dataimpulse vs proxidize,dataimpulse,proxidize,98591,162375,104047,175796,85381,86.6,97553,93.8,51069,78124,43968,86.1,50236,93.2,66.1,-2.7
ghostealth vs proxidize,ghostealth,proxidize,90213,162375,105316,175796,77951,86.4,98523,93.5,41718,78124,35830,85.9,45286,93.0,65.7,-88.8
ipnproxy vs proxidize,ipnproxy,proxidize,112362,162375,127022,175796,97211,86.5,118977,93.7,50788,78124,43504,85.7,53245,92.7,73.0,-76.9
novada vs proxyon,novada,proxyon,182358,33419,207473,37397,23585,70.6,30028,80.3,129526,28536,23212,81.3,29553,92.5,28.0,-34.6
iproyal vs marsproxies,iproyal,marsproxies,91493,75914,96214,79738,65561,86.4,72417,90.8,52889,49110,43172,87.9,47687,92.4,82.4,78.5
dataimpulse vs ipnproxy,dataimpulse,ipnproxy,98591,112362,104047,127022,79035,80.2,94291,90.6,51069,50788,41584,81.9,49611,92.1,81.7,74.4
ghostealth vs ipnproxy,ghostealth,ipnproxy,90213,112362,105316,127022,68682,76.1,90642,86.1,41718,50788,33373,80.0,44043,90.4,71.6,-11.6
711proxy vs rayobyte,711proxy,rayobyte,258807,49671,301217,55307,25825,52.0,33467,60.5,164636,35346,27208,77.0,35259,89.6,13.7,-8.0
proxidize vs proxyon,proxidize,proxyon,162375,33419,175796,37397,25642,76.7,31066,83.1,78124,28536,23529,82.5,28506,89.3,25.7,-5.5
711proxy vs proxyon,711proxy,proxyon,258807,33419,301217,37397,19277,57.7,25107,67.1,164636,28536,21812,76.4,28408,89.0,20.9,-34.2
decodo vs proxyon,decodo,proxyon,249471,33419,273404,37397,21819,65.3,26759,71.6,164845,28536,23114,81.0,28347,88.8,18.2,0.1
dataimpulse vs ghostealth,dataimpulse,ghostealth,98591,90213,104047,105316,64280,71.3,79194,76.1,51069,41718,34760,83.3,42825,87.9,78.0,86.9
nodemaven vs shifter,nodemaven,shifter,137971,180875,154448,192845,98006,71.0,116971,75.7,107770,128511,84913,78.8,101344,84.0,65.6,-39.2
nodemaven vs proxy-seller,nodemaven,proxy-seller,137971,174107,154448,185889,98092,71.1,117238,75.9,107770,125667,84727,78.6,101264,83.9,69.8,31.2
novada vs rayobyte,novada,rayobyte,182358,49671,207473,55307,24876,50.1,31513,57.0,129526,35346,25258,71.5,31997,81.3,21.3,-11.7
novada vs redscrape,novada,redscrape,182358,18924,207473,19727,9978,52.7,11834,60.0,129526,16717,11906,71.2,14120,81.0,14.8,-32.2
decodo vs redscrape,decodo,redscrape,249471,18924,273404,19727,9705,51.3,11087,56.2,164845,16717,12210,73.0,13949,80.0,9.1,2.4
decodo vs rayobyte,decodo,rayobyte,249471,49671,273404,55307,21293,42.9,25983,47.0,164845,35346,25240,71.4,30800,78.3,15.5,23.6
decodo vs novada,decodo,novada,249471,182358,273404,207473,103891,57.0,129539,62.4,164845,129526,92382,71.3,115189,78.2,53.3,34.8
711proxy vs novada,711proxy,novada,258807,182358,301217,207473,90746,49.8,120162,57.9,164636,129526,85358,65.9,113028,76.7,52.3,0.2
proxyon vs thordata,proxyon,thordata,33419,113891,37397,122700,19916,59.6,24011,64.2,28536,88210,19995,70.1,24106,75.5,33.6,31.6
711proxy vs webshare,711proxy,webshare,258807,79044,301217,91368,32962,41.7,44345,48.5,164636,63025,40178,63.7,54053,74.2,27.6,-16.5
711proxy vs proxidize,711proxy,proxidize,258807,162375,301217,175796,52615,32.4,66298,37.7,164636,78124,49368,63.2,62207,73.5,28.0,-28.7
proxyon vs webshare,proxyon,webshare,33419,79044,37397,91368,17498,52.4,22634,60.5,28536,63025,17764,62.3,22978,72.0,38.1,15.1
decodo vs proxidize,decodo,proxidize,249471,162375,273404,175796,44544,27.4,52852,30.1,164845,78124,50987,65.3,60497,71.5,23.4,6.9
dataimpulse vs decodo,dataimpulse,decodo,98591,249471,104047,273404,25373,25.7,29346,28.2,51069,164845,33230,65.1,38433,71.3,16.7,-9.1
decodo vs ghostealth,decodo,ghostealth,249471,90213,273404,105316,19474,21.6,24915,23.7,164845,41718,26536,63.6,33951,69.7,14.1,94.3
proxidize vs rayobyte,proxidize,rayobyte,162375,49671,175796,55307,23183,46.7,27947,50.5,78124,35346,22645,64.1,27298,69.4,17.1,12.2
dataimpulse vs nodemaven,dataimpulse,nodemaven,98591,137971,104047,154448,28290,28.7,33421,32.1,51069,107770,31587,61.9,37316,69.2,29.2,35.3
novada vs proxidize,novada,proxidize,182358,162375,207473,175796,49943,30.8,61518,35.0,129526,78124,47541,60.9,58559,69.2,32.8,-29.3
decodo vs ipnproxy,decodo,ipnproxy,249471,112362,273404,127022,24045,21.4,29790,23.5,164845,50788,32018,63.0,39668,69.1,15.9,82.4
711proxy vs proxy-seller,711proxy,proxy-seller,258807,174107,301217,185889,61541,35.3,76473,41.1,164636,125667,72775,57.9,90433,67.4,27.2,42.1
711proxy vs dataimpulse,711proxy,dataimpulse,258807,98591,301217,104047,28271,28.7,34725,33.4,164636,51069,29373,57.5,36078,66.9,21.0,-26.2
711proxy vs ghostealth,711proxy,ghostealth,258807,90213,301217,105316,21817,24.2,29643,28.1,164636,41718,23990,57.5,32596,66.9,17.8,60.0
proxy-seller vs rayobyte,proxy-seller,rayobyte,174107,49671,185889,55307,16426,33.1,19527,35.3,125667,35346,22102,62.5,26275,66.8,15.3,-49.9
ghostealth vs nodemaven,ghostealth,nodemaven,90213,137971,105316,154448,20748,23.0,27114,25.7,41718,107770,24767,59.4,32366,66.5,23.5,-49.5
711proxy vs decodo,711proxy,decodo,258807,249471,301217,273404,98236,39.4,125303,45.8,164636,164845,94011,57.1,119914,66.4,44.0,-34.3
ipnproxy vs nodemaven,ipnproxy,nodemaven,112362,137971,127022,154448,25846,23.0,32707,25.7,50788,107770,29986,59.0,37947,66.1,25.9,-37.9
711proxy vs ipnproxy,711proxy,ipnproxy,258807,112362,301217,127022,26970,24.0,35485,27.9,164636,50788,28809,56.7,37905,66.0,19.9,48.0
711proxy vs thordata,711proxy,thordata,258807,113891,301217,122700,38326,33.7,48057,39.2,164636,88210,50035,56.7,62739,66.0,27.4,-2.5
dataimpulse vs shifter,dataimpulse,shifter,98591,180875,104047,192845,25453,25.8,28639,27.5,51069,128511,31500,61.7,35443,65.8,20.7,-3.3
decodo vs proxy-seller,decodo,proxy-seller,249471,174107,273404,185889,65200,37.4,76291,41.0,164845,125667,75112,59.8,87889,65.5,35.6,76.5
redscrape vs thordata,redscrape,thordata,18924,113891,19727,122700,8176,43.2,9182,46.5,16717,88210,10125,60.6,11371,65.3,17.1,28.5
rayobyte vs thordata,rayobyte,thordata,49671,113891,55307,122700,20609,41.5,24722,44.7,35346,88210,21398,60.5,25669,65.2,23.6,4.4
dataimpulse vs novada,dataimpulse,novada,98591,182358,104047,207473,26590,27.0,31926,30.7,51069,129526,29220,57.2,35084,65.1,22.7,27.1
711proxy vs shifter,711proxy,shifter,258807,180875,301217,192845,57396,31.7,71222,36.9,164636,128511,71736,55.8,89016,65.0,25.0,-29.5
proxidize vs proxy-seller,proxidize,proxy-seller,162375,174107,175796,185889,41485,25.5,47953,27.3,78124,125667,47506,60.8,54913,64.9,25.3,70.8
dataimpulse vs proxy-seller,dataimpulse,proxy-seller,98591,174107,104047,185889,24972,25.3,28137,27.0,51069,125667,30998,60.7,34927,64.8,21.6,68.3
ghostealth vs shifter,ghostealth,shifter,90213,180875,105316,192845,19390,21.5,24134,22.9,41718,128511,25238,60.5,31413,64.5,17.3,-89.7
ipnproxy vs shifter,ipnproxy,shifter,112362,180875,127022,192845,24272,21.6,29255,23.0,50788,128511,30677,60.4,36974,64.4,19.4,-78.0
ghostealth vs novada,ghostealth,novada,90213,182358,105316,207473,20425,22.6,27128,25.8,41718,129526,23573,56.5,31310,64.3,19.1,-59.5
proxy-seller vs proxyon,proxy-seller,proxyon,174107,33419,185889,37397,11593,34.7,13851,37.0,125667,28536,17082,59.9,20409,63.9,13.5,-76.4
proxidize vs shifter,proxidize,shifter,162375,180875,175796,192845,39010,24.0,45029,25.6,78124,128511,46618,59.7,53811,63.6,22.6,-0.7
redscrape vs webshare,redscrape,webshare,18924,79044,19727,91368,7470,39.5,9001,45.6,16717,63025,9191,55.0,11075,63.6,20.4,13.8
decodo vs shifter,decodo,shifter,249471,180875,273404,192845,61829,34.2,72245,37.5,164845,128511,74400,57.9,86934,63.4,32.1,5.7
ghostealth vs proxy-seller,ghostealth,proxy-seller,90213,174107,105316,185889,18998,21.1,23680,22.5,41718,125667,24720,59.3,30812,63.3,18.1,-17.8
ipnproxy vs novada,ipnproxy,novada,112362,182358,127022,207473,25329,22.5,32577,25.6,50788,129526,28253,55.6,36338,63.3,21.3,-47.8
ipnproxy vs proxy-seller,ipnproxy,proxy-seller,112362,174107,127022,185889,23768,21.2,28687,22.6,50788,125667,30085,59.2,36312,63.2,20.2,-5.8
711proxy vs marsproxies,711proxy,marsproxies,258807,75914,301217,79738,15353,20.2,18769,23.5,164636,49110,26569,54.1,32481,63.0,13.3,46.1
decodo vs iproyal,decodo,iproyal,249471,91493,273404,96214,18388,20.1,21192,22.0,164845,52889,30132,57.0,34727,62.4,12.0,2.3
proxyon vs shifter,proxyon,shifter,33419,180875,37397,192845,10430,31.2,12444,33.3,28536,128511,16682,58.5,19903,62.3,10.7,4.4
711proxy vs iproyal,711proxy,iproyal,258807,91493,301217,96214,16521,18.1,20220,21.0,164636,52889,28271,53.5,34602,62.2,13.7,-31.7
decodo vs marsproxies,decodo,marsproxies,249471,75914,273404,79738,16252,21.4,18708,23.5,164845,49110,27870,56.8,32082,62.2,11.1,80.2
